Plasmid,gene_id,old_locus_tag,gene_biotype,Gene,synonym,product,product_kegg,note,other,protein_id,inference_coordinates,exon_number
NC_013716.1,ROD_RS06945,ROD_13931,protein_coding,tnpA,NA,IS66-like element accessory protein TnpA,ISCro1 transposase A,NA,NA,WP_012904569.1,similar to AA sequence:RefSeq:WP_001743492.1,1
NC_013716.1,ROD_RS06950,ROD_13941,protein_coding,NA,NA,MBL fold metallo-hydrolase,conserved hypothetical protein,NA,NA,WP_012905655.1,similar to AA sequence:RefSeq:WP_006809022.1,1
NC_013716.1,ROD_RS06955,ROD_13951,protein_coding,NA,NA,SDR family oxidoreductase,putative short-chain dehydrogenase,NA,NA,WP_012905656.1,similar to AA sequence:RefSeq:WP_004148483.1,1
NC_013716.1,ROD_RS06960,ROD_13961,protein_coding,NA,NA,monooxygenase,conserved hypothetical protein,NA,NA,WP_012905657.1,similar to AA sequence:RefSeq:NP_416182.1,1
NC_013716.1,ROD_RS06965,ROD_13971,protein_coding,NA,NA,mechanosensitive ion channel family protein,putative membrane protein,NA,NA,WP_012905658.1,similar to AA sequence:RefSeq:WP_002438466.1,1
NC_013716.1,ROD_RS06970,ROD_13981,protein_coding,NA,NA,FAD-dependent oxidoreductase,conserved hypothetical protein,NA,NA,WP_012905659.1,similar to AA sequence:RefSeq:WP_012967393.1,1
NC_013716.1,ROD_RS06975,ROD_13991,protein_coding,NA,NA,LysR family transcriptional regulator,LysR-family transcriptional regulator,NA,NA,WP_012905660.1,similar to AA sequence:RefSeq:WP_014907076.1,1
NC_013716.1,ROD_RS06980,ROD_14001,protein_coding,NA,NA,prolyl oligopeptidase family serine peptidase,conserved hypothetical protein,NA,NA,WP_012905661.1,similar to AA sequence:RefSeq:WP_012967395.1,1
NC_013716.1,ROD_RS06985,ROD_14011,protein_coding,NA,NA,VOC family protein,conserved hypothetical protein,NA,NA,WP_012905662.1,similar to AA sequence:RefSeq:WP_012967396.1,1
NC_013716.1,ROD_RS06990,NA,protein_coding,NA,NA,Rieske (2Fe-2S) protein,NA,NA,NA,WP_024132643.1,similar to AA sequence:RefSeq:WP_019704827.1,1
NC_013716.1,ROD_RS06995,ROD_14031,protein_coding,NA,NA,fumarylacetoacetate hydrolase family protein,conserved hypothetical protein,NA,NA,WP_012905664.1,similar to AA sequence:RefSeq:WP_012967398.1,1
NC_013716.1,ROD_RS07000,ROD_14041,protein_coding,NA,NA,cyclase family protein,conserved hypothetical protein,NA,NA,WP_012905665.1,similar to AA sequence:RefSeq:WP_012967399.1,1
NC_013716.1,ROD_RS07005,ROD_14051,protein_coding,NA,NA,transporter,putative exported protein,NA,NA,WP_012905666.1,protein motif:HMM:NF024946.2,1
NC_013716.1,ROD_RS07010,ROD_t21,tRNA,NA,NA,NA,tRNA-Val,NA,NA,NA,NA,NA
NC_013716.1,ROD_RS07015,ROD_t22,tRNA,NA,NA,NA,tRNA-Val,NA,NA,NA,NA,NA
NC_013716.1,ROD_RS07020,ROD_14061,protein_coding,mdtK,NA,MdtK family multidrug efflux MATE transporter,multidrug resistance protein,NA,NA,WP_012905667.1,similar to AA sequence:RefSeq:NP_310399.1,1
NC_013716.1,ROD_RS07025,ROD_14071,protein_coding,ribE,NA,riboflavin synthase,riboflavin synthase alpha chain,NA,NA,WP_012905668.1,similar to AA sequence:RefSeq:NP_416179.1,1
NC_013716.1,ROD_RS07030,ROD_14081,protein_coding,cfa,NA,cyclopropane fatty acyl phospholipid synthase,cyclopropane-fatty-acyl-phospholipid synthase,NA,NA,WP_012905669.1,similar to AA sequence:RefSeq:NP_416178.1,1
NC_013716.1,ROD_RS07035,ROD_14091,protein_coding,NA,NA,Bcr/CflA family multidrug efflux MFS transporter,major facilitator superfamily protein,NA,NA,WP_012905670.1,similar to AA sequence:RefSeq:WP_006684699.1,1
NC_013716.1,ROD_RS07040,ROD_14101,protein_coding,NA,NA,LysR family transcriptional regulator,LysR-family transcriptional regulator,NA,NA,WP_012905671.1,similar to AA sequence:RefSeq:WP_003836454.1,1
NC_013716.1,ROD_RS07045,ROD_14111,protein_coding,purR,NA,HTH-type transcriptional repressor PurR,purine nucleotide synthesis repressor,NA,NA,WP_012905672.1,similar to AA sequence:RefSeq:WP_005127190.1,1
NC_013716.1,ROD_RS28065,NA,protein_coding,NA,NA,YnhF family membrane protein,NA,NA,NA,WP_148222080.1,similar to AA sequence:RefSeq:YP_001165321.1,1
NC_013716.1,ROD_RS07050,ROD_14131,protein_coding,NA,NA,MFS transporter,major facilitator superfamily protein,NA,NA,WP_012905674.1,similar to AA sequence:RefSeq:WP_012132541.1,1
NC_013716.1,ROD_RS07055,ROD_14141,protein_coding,sodB,NA,superoxide dismutase [Fe],superoxide dismutase [Fe],NA,NA,WP_012905675.1,similar to AA sequence:RefSeq:NP_310392.1,1
NC_013716.1,ROD_RS07060,ROD_14151,protein_coding,NA,NA,C40 family peptidase,putative exported protein,NA,NA,WP_012905676.1,similar to AA sequence:RefSeq:NP_310391.1,1
NC_013716.1,ROD_RS07065,ROD_14161,protein_coding,NA,NA,Grx4 family monothiol glutaredoxin,conserved hypothetical protein,NA,NA,WP_012905677.1,similar to AA sequence:RefSeq:NP_460396.1,1
NC_013716.1,ROD_RS07070,ROD_14171,protein_coding,rnt,NA,ribonuclease T,ribonuclease T,NA,NA,WP_012905678.1,similar to AA sequence:RefSeq:WP_001282273.1,1
NC_013716.1,ROD_RS07075,ROD_14181,protein_coding,gloA,NA,lactoylglutathione lyase,lactoylglutathione lyase,NA,NA,WP_012905679.1,similar to AA sequence:RefSeq:WP_008500591.1,1
NC_013716.1,ROD_RS07080,ROD_14191,protein_coding,nemA,NA,alkene reductase,N-ethylmaleimide reductase,NA,NA,WP_012905680.1,similar to AA sequence:RefSeq:NP_416167.1,1
NC_013716.1,ROD_RS07085,ROD_14201,protein_coding,NA,NA,TetR/AcrR family transcriptional regulator,TetR-family transcriptional regulator,NA,NA,WP_024132645.1,similar to AA sequence:RefSeq:WP_001041830.1,1
NC_013716.1,ROD_RS07090,NA,protein_coding,NA,NA,DUF1289 domain-containing protein,NA,NA,NA,WP_024132646.1,similar to AA sequence:RefSeq:NP_416165.2,1
NC_013716.1,ROD_RS07095,ROD_14211,protein_coding,NA,NA,aldo/keto reductase family oxidoreductase,putative aldo/keto reductase,NA,NA,WP_012905682.1,similar to AA sequence:RefSeq:YP_025305.1,1
NC_013716.1,ROD_RS07100,ROD_14221,protein_coding,sodC,NA,superoxide dismutase [Cu-Zn] SodC2,superoxide dismutase [Cu-Zn],NA,NA,WP_012905683.1,similar to AA sequence:RefSeq:NP_460403.1,1
NC_013716.1,ROD_RS07105,ROD_14231,pseudogene,NA,NA,FUSC family protein,putative efflux pump protein,frameshifted,"pseudo true, pseudo true",NA,similar to AA sequence:RefSeq:NP_460404.1,1
NC_013716.1,ROD_RS07110,ROD_14241,protein_coding,NA,NA,HlyD family secretion protein,HlyD-family secretion protein,NA,NA,WP_012905685.1,similar to AA sequence:RefSeq:NP_416161.4,1
NC_013716.1,ROD_RS07115,NA,protein_coding,NA,NA,DUF1656 domain-containing protein,NA,NA,NA,WP_024132648.1,similar to AA sequence:RefSeq:WP_000649757.1,1
NC_013716.1,ROD_RS07120,ROD_14251,protein_coding,slyA,NA,transcriptional regulator SlyA,MarR-family transcriptional regulator,NA,NA,WP_071820578.1,similar to AA sequence:RefSeq:NP_460407.3,1
NC_013716.1,ROD_RS07125,ROD_14261,protein_coding,slyB,NA,outer membrane lipoprotein SlyB,outer membrane lipoprotein,NA,NA,WP_012905687.1,similar to AA sequence:RefSeq:NP_460408.1,1
NC_013716.1,ROD_RS07130,ROD_14271,protein_coding,anmK,NA,anhydro-N-acetylmuramic acid kinase,anhydro-N-acetylmuramic acid kinase,NA,NA,WP_012905688.1,similar to AA sequence:RefSeq:NP_460409.1,1
NC_013716.1,ROD_RS07135,ROD_14281,protein_coding,mliC,NA,C-type lysozyme inhibitor,putative lipoprotein,NA,NA,WP_012905689.1,similar to AA sequence:RefSeq:WP_003832783.1,1
NC_013716.1,ROD_RS07140,ROD_14291,protein_coding,pdxH,NA,pyridoxamine 5'-phosphate oxidase,pyridoxamine 5'-phosphate oxidase,NA,NA,WP_012905690.1,similar to AA sequence:RefSeq:WP_005127173.1,1
NC_013716.1,ROD_RS07145,ROD_14301,protein_coding,tyrS,NA,tyrosine--tRNA ligase,tyrosyl-tRNA synthetase,NA,NA,WP_012905691.1,similar to AA sequence:RefSeq:NP_460412.1,1
NC_013716.1,ROD_RS07150,ROD_14311,protein_coding,pdxY,NA,pyridoxal kinase PdxY,pyridoxamine kinase,NA,NA,WP_012905692.1,similar to AA sequence:RefSeq:NP_460413.1,1
NC_013716.1,ROD_RS07155,ROD_14321,protein_coding,gst,gstA,glutathione transferase GstA,glutathione S-transferase,NA,NA,WP_012905693.1,similar to AA sequence:RefSeq:NP_310371.1,1
NC_013716.1,ROD_RS07160,ROD_14331,protein_coding,tppB,dtpA,dipeptide/tripeptide permease DtpA,tripeptide permease,NA,NA,WP_012905694.1,similar to AA sequence:RefSeq:NP_416151.1,1
NC_013716.1,ROD_RS07165,ROD_14341,protein_coding,nth,NA,endonuclease III,endonuclease III,NA,NA,WP_012905695.1,similar to AA sequence:RefSeq:WP_001740755.1,1
NC_013716.1,ROD_RS07170,ROD_14351,protein_coding,rnfE,NA,electron transport complex subunit E,electron transport complex protein,NA,NA,WP_012905696.1,similar to AA sequence:RefSeq:WP_005121204.1,1
NC_013716.1,ROD_RS07175,ROD_14361,protein_coding,rnfG,rsxG,electron transport complex subunit RsxG,electron transport complex protein,NA,NA,WP_012905697.1,similar to AA sequence:RefSeq:NP_310367.1,1
NC_013716.1,ROD_RS07180,ROD_14371,protein_coding,rnfD,rsxD,electron transport complex subunit RsxD,electron transport complex protein,NA,NA,WP_012905698.1,similar to AA sequence:RefSeq:NP_310366.1,1
NC_013716.1,ROD_RS07185,ROD_14381,protein_coding,rnfC,rsxC,electron transport complex subunit RsxC,electron transport complex protein,NA,NA,WP_012905699.1,similar to AA sequence:RefSeq:WP_001539956.1,1
NC_013716.1,ROD_RS07190,ROD_14391,protein_coding,rnfB,rsxB,electron transport complex subunit RsxB,electron transport complex protein,NA,NA,WP_012905700.1,similar to AA sequence:RefSeq:NP_460421.1,1
NC_013716.1,ROD_RS07195,ROD_14401,protein_coding,rnfA,rsxA,electron transport complex subunit RsxA,electron transport complex protein,NA,NA,WP_012905701.1,similar to AA sequence:RefSeq:WP_017456621.1,1
NC_013716.1,ROD_RS07200,ROD_14411,protein_coding,NA,NA,DUF2569 domain-containing protein,putative outer membrane protein,NA,NA,WP_012905702.1,similar to AA sequence:RefSeq:NP_460423.1,1
NC_013716.1,ROD_RS07205,ROD_14421,protein_coding,ydgT,NA,transcription modulator YdgT,H-NS-and StpA-binding protein,NA,NA,WP_012905703.1,similar to AA sequence:RefSeq:NP_460424.3,1
NC_013716.1,ROD_RS07210,ROD_14441,protein_coding,blr,NA,division septum protein Blr,beta-lactam resistance protein,NA,NA,WP_024132649.1,similar to AA sequence:RefSeq:NP_310360.1,1
NC_013716.1,ROD_RS07215,ROD_14451,protein_coding,NA,NA,oxidoreductase,putative oxidoreductase,NA,NA,WP_012905706.1,similar to AA sequence:RefSeq:NP_310359.2,1
NC_013716.1,ROD_RS07220,ROD_14461,protein_coding,add,NA,adenosine deaminase,adenosine deaminase,NA,NA,WP_012905707.1,similar to AA sequence:RefSeq:NP_460426.1,1
NC_013716.1,ROD_RS07225,ROD_14471,protein_coding,malY,NA,pyridoxal phosphate-dependent aminotransferase,protein MalY,NA,NA,WP_012905708.1,similar to AA sequence:RefSeq:NP_310357.1,1
NC_013716.1,ROD_RS07230,ROD_14481,protein_coding,malX,NA,PTS maltose transporter subunit IICB,"maltose and glucose-specific PTS system, EIICB component",NA,NA,WP_012905709.1,similar to AA sequence:RefSeq:NP_310356.1,1
NC_013716.1,ROD_RS07235,ROD_14491,protein_coding,malI,NA,Mal regulon transcriptional regulator MalI,maltose regulon regulatory protein,NA,NA,WP_012905710.1,similar to AA sequence:RefSeq:NP_310355.1,1
NC_013716.1,ROD_RS07240,ROD_14501,protein_coding,NA,NA,YdgA family protein,putative exported protein,NA,NA,WP_012905711.1,similar to AA sequence:RefSeq:NP_460427.1,1
NC_013716.1,ROD_RS07245,ROD_14511,protein_coding,manA,NA,mannose-6-phosphate isomerase,mannose-6-phosphate isomerase,NA,NA,WP_012905712.1,similar to AA sequence:RefSeq:NP_310346.1,1
NC_013716.1,ROD_RS07250,ROD_14521,protein_coding,fumA,fumB,class I fumarate hydratase,"fumarate hydratase class I, aerobic",NA,NA,WP_012905713.1,similar to AA sequence:RefSeq:WP_000066594.1,1
NC_013716.1,ROD_RS07255,ROD_14531,protein_coding,fumC,NA,class II fumarate hydratase,fumarate hydratase class II,NA,NA,WP_012905714.1,similar to AA sequence:RefSeq:NP_310344.1,1
NC_013716.1,ROD_RS07260,ROD_14541,protein_coding,tus,NA,DNA replication terminus site-binding protein,DNA replication terminus site-binding protein,NA,NA,WP_012905715.1,similar to AA sequence:RefSeq:NP_310343.1,1
NC_013716.1,ROD_RS07265,ROD_14551,protein_coding,rstB,NA,two-component system sensor histidine kinase RstB,two-component sensor kinase,NA,NA,WP_012905716.1,similar to AA sequence:RefSeq:NP_460432.1,1
NC_013716.1,ROD_RS07270,ROD_14561,protein_coding,rstA,NA,two-component system response regulator RstA,two-component response regulator,NA,NA,WP_012905717.1,similar to AA sequence:RefSeq:WP_003028952.1,1
NC_013716.1,ROD_RS07275,ROD_14571,protein_coding,NA,NA,GlpM family protein,putative outer membrane protein,NA,NA,WP_012905718.1,similar to AA sequence:RefSeq:NP_460436.1,1
NC_013716.1,ROD_RS07280,ROD_14581,protein_coding,folM,NA,dihydromonapterin reductase,putative short chain dehydrogenase,NA,NA,WP_012905719.1,similar to AA sequence:RefSeq:NP_310339.1,1
NC_013716.1,ROD_RS07285,ROD_14591,protein_coding,NA,NA,amino acid permease,putative arginine/ornithine antiporter,NA,NA,WP_012905720.1,similar to AA sequence:RefSeq:NP_416122.1,1
NC_013716.1,ROD_RS07290,ROD_14601,protein_coding,ydgH,NA,DUF1471 family protein YdgH,putative exported protein,NA,NA,WP_012905721.1,similar to AA sequence:RefSeq:NP_310337.1,1
NC_013716.1,ROD_RS07295,ROD_14621,protein_coding,pntA,NA,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,NAD(P) transhydrogenase subunit alpha,NA,NA,WP_012905723.1,similar to AA sequence:RefSeq:NP_416120.1,1
NC_013716.1,ROD_RS07300,ROD_14631,protein_coding,pntB,NA,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta,NAD(P) transhydrogenase subunit beta,NA,NA,WP_012905724.1,similar to AA sequence:RefSeq:WP_000014033.1,1
NC_013716.1,ROD_RS07305,ROD_14641,protein_coding,tqsA,NA,AI-2E family transporter,AI-2 transport protein TqsA,NA,NA,WP_012905725.1,similar to AA sequence:RefSeq:WP_006684636.1,1
NC_013716.1,ROD_RS07310,ROD_14652,protein_coding,mdtJ,NA,multidrug/spermidine efflux SMR transporter subunit MdtJ,multidrug efflux system protein MdtJ,NA,NA,WP_012905727.1,similar to AA sequence:RefSeq:NP_460442.1,1
NC_013716.1,ROD_RS07315,ROD_14661,protein_coding,mdtI,NA,multidrug/spermidine efflux SMR transporter subunit MdtI,multidrug resistance protein,NA,NA,WP_012905728.1,similar to AA sequence:RefSeq:YP_005226775.1,1
NC_013716.1,ROD_RS07320,ROD_14671,protein_coding,NA,NA,serine protease,putative protease,NA,NA,WP_012905729.1,similar to AA sequence:RefSeq:NP_460444.1,1
NC_013716.1,ROD_RS07325,ROD_14681,protein_coding,asr,NA,acid resistance repetitive basic protein Asr,acid shock protein,NA,NA,WP_024132650.1,similar to AA sequence:RefSeq:WP_003028934.1,1
NC_013716.1,ROD_RS07330,ROD_14691,protein_coding,NA,NA,MFS transporter,major facilitator superfamily protein,NA,NA,WP_012905731.1,similar to AA sequence:RefSeq:WP_016156466.1,1
NC_013716.1,ROD_RS07335,ROD_14701,protein_coding,NA,NA,LysR family transcriptional regulator,LysR-family transcriptional regulator,NA,NA,WP_012905732.1,similar to AA sequence:RefSeq:WP_001019573.1,1
NC_013716.1,ROD_RS07340,ROD_14711,protein_coding,mlc,NA,ROK family transcriptional regulator,protein Mlc (making large colonies protein),NA,NA,WP_012905733.1,similar to AA sequence:RefSeq:NP_460448.1,1
NC_013716.1,ROD_RS07345,ROD_14721,protein_coding,bioD,NA,dethiobiotin synthase,putative dethiobiotin synthetase,NA,NA,WP_012905734.1,similar to AA sequence:RefSeq:NP_460449.1,1
NC_013716.1,ROD_RS27415,NA,pseudogene,NA,NA,voltage-gated ClC-type chloride channel ClcB,NA,frameshifted,"partial true, pseudo true, incomplete, partial in the middle of a contig, missing N-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:NP_460450.3,1
NC_013716.1,ROD_RS07350,ROD_14731,protein_coding,osmV,NA,osmoprotectant ABC transporter ATP-binding protein OsmV,putative ABC transporter ATP-binding protein,NA,NA,WP_012905735.1,similar to AA sequence:RefSeq:NP_460451.1,1
NC_013716.1,ROD_RS07355,ROD_14741,protein_coding,osmW,NA,osmoprotectant ABC transporter permease OsmW,putative ABC transporter membrane protein,NA,NA,WP_012905736.1,similar to AA sequence:RefSeq:NP_460452.1,1
NC_013716.1,ROD_RS07360,ROD_14751,protein_coding,osmX,NA,osmoprotectant ABC transporter substrate-binding protein OsmX,putative ABC transporter periplasmic binding protein,NA,NA,WP_012905737.1,similar to AA sequence:RefSeq:NP_460453.1,1
NC_013716.1,ROD_RS07365,ROD_14761,protein_coding,osmY,NA,osmoprotectant ABC transporter permease OsmY,putative ABC transporter membrane protein,NA,NA,WP_012905738.1,similar to AA sequence:RefSeq:WP_000557308.1,1
NC_013716.1,ROD_RS07370,ROD_14771,protein_coding,dmsD,NA,Tat proofreading chaperone DmsD,anaerobic dimethyl sulfoxide reductase maturation protein (twin-arginine leader-binding protein),NA,NA,WP_012905739.1,similar to AA sequence:RefSeq:WP_016158229.1,1
NC_013716.1,ROD_RS07375,ROD_14781,protein_coding,NA,NA,DUF1161 domain-containing protein,putative exported protein,NA,NA,WP_024132651.1,similar to AA sequence:RefSeq:WP_001317100.1,1
NC_013716.1,ROD_RS07380,ROD_14791,protein_coding,speG,NA,spermidine N1-acetyltransferase,spermidine N1-acetyltransferase,NA,NA,WP_012905741.1,similar to AA sequence:RefSeq:YP_005226795.1,1
NC_013716.1,ROD_RS07385,ROD_14801,protein_coding,NA,NA,DUF1283 family protein,putative exported protein,NA,NA,WP_012905742.1,similar to AA sequence:RefSeq:NP_460463.1,1
NC_013716.1,ROD_RS07390,ROD_14811,pseudogene,rspB,NA,Zn-dependent oxidoreductase,pseudogene,incomplete,"partial true, pseudo true, partial in the middle of a contig, missing N-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:WP_016156474.1,1
NC_013716.1,ROD_RS07395,ROD_14821,protein_coding,NA,NA,MHS family MFS transporter,major facilitator superfamily protein,NA,NA,WP_042623362.1,similar to AA sequence:RefSeq:WP_003032390.1,1
NC_013716.1,ROD_RS07400,ROD_14831,protein_coding,uxaC,NA,glucuronate isomerase,uronate isomerase,NA,NA,WP_012905744.1,similar to AA sequence:RefSeq:WP_016943382.1,1
NC_013716.1,ROD_RS07405,ROD_14841,protein_coding,NA,NA,MFS transporter,Major Facilitator Superfamily transporter,NA,NA,WP_012905745.1,similar to AA sequence:RefSeq:WP_007370171.1,1
NC_013716.1,ROD_RS07410,ROD_14851,protein_coding,NA,NA,mannitol dehydrogenase family protein,putative sugar dehydrogenase,NA,NA,WP_012905746.1,similar to AA sequence:RefSeq:WP_003032392.1,1
NC_013716.1,ROD_RS07415,ROD_14861,protein_coding,ydfZ,NA,putative selenium delivery protein YdfZ,conserved hypothetical protein,NA,NA,WP_024132653.1,similar to AA sequence:RefSeq:NP_460469.1,1
NC_013716.1,ROD_RS07420,ROD_14871,protein_coding,NA,NA,GntR family transcriptional regulator,GntR-family transcriptional regulator,NA,NA,WP_012905748.1,similar to AA sequence:RefSeq:NP_460470.1,1
NC_013716.1,ROD_RS07425,ROD_14881,protein_coding,ydfG,NA,bifunctional NADP-dependent 3-hydroxy acid dehydrogenase/3-hydroxypropionate dehydrogenase YdfG,NADP-dependent L-serine/L-allo-threonine dehydrogenase,NA,NA,WP_012905749.1,similar to AA sequence:RefSeq:WP_014883682.1,1
NC_013716.1,ROD_RS07430,ROD_14891,protein_coding,dcp,NA,peptidyl-dipeptidase Dcp,dipeptidyl carboxypeptidase II,NA,NA,WP_012905750.1,similar to AA sequence:RefSeq:NP_310174.1,1
NC_013716.1,ROD_RS26080,NA,pseudogene,NA,NA,phage integrase Arm DNA-binding domain-containing protein,NA,incomplete,"partial true, pseudo true, partial in the middle of a contig, missing C-terminus, partial true, pseudo true",NA,similar to AA sequence:RefSeq:WP_013575096.1,1
NC_013716.1,ROD_RS27420,ROD_14911,protein_coding,NA,NA,hypothetical protein,hypothetical protein,NA,NA,WP_148222081.1,similar to AA sequence:RefSeq:WP_008501270.1,1
NC_013716.1,ROD_RS07445,ROD_14921,protein_coding,NA,NA,2-oxo-tetronate isomerase,conserved hypothetical protein,NA,NA,WP_012905753.1,similar to AA sequence:RefSeq:WP_006646291.1,1
NC_013716.1,ROD_RS07450,ROD_14931,protein_coding,NA,NA,DUF421 domain-containing protein,putative membrane protein,NA,NA,WP_012905754.1,similar to AA sequence:RefSeq:WP_015960127.1,1
NC_013716.1,ROD_RS07455,ROD_14941,protein_coding,NA,NA,hypothetical protein,putative membrane protein,NA,NA,WP_012905755.1,ab initio prediction:GeneMarkS-2+,1
NC_013716.1,ROD_RS07460,ROD_14951,protein_coding,NA,NA,YdeI family stress tolerance OB fold protein,putative exported protein,NA,NA,WP_012905756.1,similar to AA sequence:RefSeq:WP_015960129.1,1
NC_013716.1,ROD_RS28585,NA,protein_coding,NA,NA,hypothetical protein,NA,NA,NA,WP_158304842.1,ab initio prediction:GeneMarkS-2+,1
NC_013716.1,ROD_RS28070,NA,protein_coding,mgtS,NA,protein MgtS,NA,NA,NA,WP_024132656.1,similar to AA sequence:RefSeq:YP_001165319.1,1
NC_013716.1,ROD_RS07470,ROD_14981,protein_coding,NA,NA,cobalamin-independent methionine synthase II family protein,putative methionine synthase,NA,NA,WP_012905759.1,similar to AA sequence:RefSeq:YP_005226837.1,1
NC_013716.1,ROD_RS07475,ROD_14991,protein_coding,urtA,NA,urea ABC transporter substrate-binding protein,putative substrate-binding periplasmic transport protein,NA,NA,WP_012905760.1,similar to AA sequence:RefSeq:WP_007900121.1,1
NC_013716.1,ROD_RS07480,ROD_15001,protein_coding,urtB,NA,urea ABC transporter permease subunit UrtB,"putative branched-chain amino acid transport system, permease component",NA,NA,WP_012905761.1,similar to AA sequence:RefSeq:WP_010431072.1,1
NC_013716.1,ROD_RS07485,ROD_15011,protein_coding,urtC,NA,urea ABC transporter permease subunit UrtC,"putative branched-chain amino acid transport system, permease component",NA,NA,WP_012905762.1,similar to AA sequence:RefSeq:YP_005226840.1,1
NC_013716.1,ROD_RS07490,ROD_15021,protein_coding,urtD,NA,urea ABC transporter ATP-binding protein UrtD,putative ABC transport ATP-binding subunit,NA,NA,WP_012905763.1,similar to AA sequence:RefSeq:YP_005226841.1,1
NC_013716.1,ROD_RS07495,ROD_15031,protein_coding,urtE,NA,urea ABC transporter ATP-binding subunit UrtE,putative ABC transport ATP-binding subunit,NA,NA,WP_012905764.1,similar to AA sequence:RefSeq:YP_005226842.1,1
NC_013716.1,ROD_RS07500,ROD_15041,protein_coding,ydeE,NA,efflux MFS transporter YdeE,major facilitator superfamily protein,NA,NA,WP_012905765.1,similar to AA sequence:RefSeq:WP_001357328.1,1
NC_013716.1,ROD_RS07505,ROD_15051,protein_coding,eamA,NA,O-acetylserine/cysteine exporter,probable amino acid metabolite efflux,NA,NA,WP_012905766.1,similar to AA sequence:RefSeq:WP_000087230.1,1
NC_013716.1,ROD_RS07510,ROD_15061,protein_coding,marB,NA,multiple antibiotic resistance protein MarB,multiple antibiotic resistance protein,NA,NA,WP_012905767.1,similar to AA sequence:RefSeq:WP_016153071.1,1
NC_013716.1,ROD_RS07515,ROD_15071,protein_coding,marA,NA,MDR efflux pump AcrAB transcriptional activator MarA,multiple antibiotic resistance regulatory protein,NA,NA,WP_012905768.1,similar to AA sequence:RefSeq:WP_000091205.1,1
NC_013716.1,ROD_RS07520,ROD_15081,protein_coding,marR,NA,multiple antibiotic resistance transcriptional regulator MarR,multiple antibiotic resistance regulatory protein,NA,NA,WP_012905769.1,similar to AA sequence:RefSeq:NP_416047.4,1
NC_013716.1,ROD_RS07525,ROD_15091,protein_coding,marC,NA,MarC family NAAT transporter,multiple antibiotic resistance protein,NA,NA,WP_012905770.1,similar to AA sequence:RefSeq:NP_460481.1,1
NC_013716.1,ROD_RS07530,ROD_15101,protein_coding,sotB,NA,sugar transporter,sugar efflux transporter,NA,NA,WP_012905771.1,similar to AA sequence:RefSeq:WP_006810628.1,1
NC_013716.1,ROD_RS07535,ROD_15111,protein_coding,NA,NA,PhzF family phenazine biosynthesis protein,conserved hypothetical protein,NA,NA,WP_012905772.1,similar to AA sequence:RefSeq:WP_004851172.1,1
NC_013716.1,ROD_RS07540,ROD_15121,protein_coding,NA,NA,anion permease,possible membrane transport protein,NA,NA,WP_012905773.1,similar to AA sequence:RefSeq:WP_000177666.1,1
NC_013716.1,ROD_RS07545,ROD_15131,protein_coding,NA,NA,exo-alpha-sialidase,conserved hypothetical protein,NA,NA,WP_012905774.1,similar to AA sequence:RefSeq:WP_000109428.1,1
NC_013716.1,ROD_RS07550,ROD_15141,protein_coding,NA,NA,TerC family protein,putative integral membrane protein,NA,NA,WP_012905775.1,similar to AA sequence:RefSeq:WP_004119877.1,1
NC_013716.1,ROD_RS07555,ROD_15151,protein_coding,dapA,NA,dihydrodipicolinate synthase family protein,putative dihydrodipicolinate synthase,NA,NA,WP_012905776.1,similar to AA sequence:RefSeq:WP_002904419.1,1
NC_013716.1,ROD_RS07560,ROD_15161,protein_coding,NA,NA,iron-containing alcohol dehydrogenase,putative alcohol dehydrogenase,NA,NA,WP_012905777.1,similar to AA sequence:RefSeq:WP_014070283.1,1
NC_013716.1,ROD_RS07565,ROD_15171,protein_coding,NA,NA,LysR family transcriptional regulator,LysR-family transcriptional regulator,NA,NA,WP_012905778.1,similar to AA sequence:RefSeq:WP_013366280.1,1
NC_013716.1,ROD_RS07570,ROD_15181,protein_coding,sad,NA,succinate-semialdehyde dehydrogenase,putative aldehyde dehydrogenase,NA,NA,WP_012905779.1,similar to AA sequence:RefSeq:NP_416042.2,1
NC_013716.1,ROD_RS07575,ROD_15191,protein_coding,glsA2,glsB,glutaminase B,glutaminase 2,NA,NA,WP_012905780.1,similar to AA sequence:RefSeq:NP_310158.1,1
NC_013716.1,ROD_RS07580,ROD_15201,protein_coding,NA,NA,DUF4186 domain-containing protein,conserved hypothetical protein,NA,NA,WP_012905781.1,similar to AA sequence:RefSeq:NP_416040.1,1
NC_013716.1,ROD_RS07585,ROD_15211,protein_coding,NA,NA,GGDEF domain-containing protein,putative signal transduction protein,NA,NA,WP_024132657.1,similar to AA sequence:RefSeq:NP_310156.2,1
NC_013716.1,ROD_RS07590,ROD_15221,protein_coding,uxaB,NA,tagaturonate reductase,altronate oxidoreductase,NA,NA,WP_012905783.1,similar to AA sequence:RefSeq:NP_310155.1,1
NC_013716.1,ROD_RS07595,ROD_15231,protein_coding,NA,NA,bestrophin family protein,putative membrane protein,NA,NA,WP_012905784.1,similar to AA sequence:RefSeq:NP_416037.2,1
